date_28days_floor,age_gp_modelling,proportion,season_name
01/09/2025,< 3 months,0.1,2025/2026
01/09/2025,1-4 years,0.166667,2025/2026
01/09/2025,3-5 months,0.3,2025/2026
01/09/2025,5-64 years,0.1,2025/2026
01/09/2025,6-11 months,0.2,2025/2026
01/09/2025,65+ years,0.133333,2025/2026
29/09/2025,< 3 months,0.101695,2025/2026
29/09/2025,1-4 years,0.20339,2025/2026
29/09/2025,3-5 months,0.186441,2025/2026
29/09/2025,5-64 years,0.016949,2025/2026
29/09/2025,6-11 months,0.288136,2025/2026
29/09/2025,65+ years,0.20339,2025/2026
