"country","age_group","target_end_date","year_week","week","year","weekly_rsv_hospitalisations","season"
"Austria","total",2026-09-06,"2026-W36",36,2026,12,"2026/2027"
"Austria","total",2026-09-13,"2026-W37",37,2026,8,"2026/2027"
"Austria","total",2026-09-20,"2026-W38",38,2026,22,"2026/2027"
"Austria","total",2026-09-27,"2026-W39",39,2026,20,"2026/2027"
"Austria","total",2026-10-04,"2026-W40",40,2026,28,"2026/2027"
"Austria","total",2026-10-11,"2026-W41",41,2026,69,"2026/2027"
"Austria","total",2026-10-18,"2026-W42",42,2026,89,"2026/2027"
"Austria","total",2026-10-25,"2026-W43",43,2026,134,"2026/2027"
"Austria","total",2026-11-01,"2026-W44",44,2026,175,"2026/2027"
"Austria","total",2026-11-08,"2026-W45",45,2026,283,"2026/2027"
"Austria","total",2026-11-15,"2026-W46",46,2026,353,"2026/2027"
"Austria","total",2026-11-22,"2026-W47",47,2026,428,"2026/2027"
"Austria","total",2026-11-29,"2026-W48",48,2026,477,"2026/2027"
"Austria","total",2026-12-06,"2026-W49",49,2026,493,"2026/2027"
"Austria","total",2026-12-13,"2026-W50",50,2026,477,"2026/2027"
"Austria","total",2026-12-20,"2026-W51",51,2026,426,"2026/2027"
"Austria","total",2026-12-27,"2026-W52",52,2026,427,"2026/2027"
"Austria","total",2027-01-03,"2026-W53",53,2026,385,"2026/2027"
"Austria","total",2027-01-10,"2027-W01",1,2027,366,"2026/2027"
"Austria","total",2027-01-17,"2027-W02",2,2027,299,"2026/2027"
"Austria","total",2027-01-24,"2027-W03",3,2027,227,"2026/2027"
"Austria","total",2027-01-31,"2027-W04",4,2027,192,"2026/2027"
"Austria","total",2027-02-07,"2027-W05",5,2027,174,"2026/2027"
"Austria","total",2027-02-14,"2027-W06",6,2027,159,"2026/2027"
"Austria","total",2027-02-21,"2027-W07",7,2027,157,"2026/2027"
"Austria","total",2027-02-28,"2027-W08",8,2027,131,"2026/2027"
"Austria","total",2027-03-07,"2027-W09",9,2027,105,"2026/2027"
"Austria","total",2027-03-14,"2027-W10",10,2027,76,"2026/2027"
"Austria","total",2027-03-21,"2027-W11",11,2027,83,"2026/2027"
"Austria","total",2027-03-28,"2027-W12",12,2027,66,"2026/2027"
"Austria","total",2027-04-04,"2027-W13",13,2027,61,"2026/2027"
"Austria","total",2027-04-11,"2027-W14",14,2027,48,"2026/2027"
"Austria","total",2027-04-18,"2027-W15",15,2027,44,"2026/2027"
"Austria","total",2027-04-25,"2027-W16",16,2027,33,"2026/2027"
"Austria","total",2027-05-02,"2027-W17",17,2027,27,"2026/2027"
"Austria","total",2027-05-09,"2027-W18",18,2027,22,"2026/2027"
"Austria","total",2027-05-16,"2027-W19",19,2027,27,"2026/2027"
"Austria","total",2027-05-23,"2027-W20",20,2027,24,"2026/2027"
"Austria","total",2027-05-30,"2027-W21",21,2027,15,"2026/2027"
"Austria","total",2027-06-06,"2027-W22",22,2027,19,"2026/2027"
"Austria","total",2027-06-13,"2027-W23",23,2027,14,"2026/2027"
"Austria","total",2027-06-20,"2027-W24",24,2027,20,"2026/2027"
"Austria","total",2027-06-27,"2027-W25",25,2027,16,"2026/2027"
"Austria","total",2027-07-04,"2027-W26",26,2027,15,"2026/2027"
