"country","age_group","start_date","end_date","total_rsv_hospitalisations","season"
"Austria","0-2mo",2026-08-31,2027-08-29,1262,"2026/2027"
"Austria","1-4",2026-08-31,2027-08-29,969,"2026/2027"
"Austria","18-59",2026-08-31,2027-08-29,300,"2026/2027"
"Austria","3-5mo",2026-08-31,2027-08-29,651,"2026/2027"
"Austria","5-17",2026-08-31,2027-08-29,53,"2026/2027"
"Austria","6-11mo",2026-08-31,2027-08-29,513,"2026/2027"
"Austria","60-64",2026-08-31,2027-08-29,192,"2026/2027"
"Austria","65-69",2026-08-31,2027-08-29,277,"2026/2027"
"Austria","70-74",2026-08-31,2027-08-29,355,"2026/2027"
"Austria","75-79",2026-08-31,2027-08-29,438,"2026/2027"
"Austria","80+",2026-08-31,2027-08-29,1794,"2026/2027"
"Austria","0-2mo",2027-08-30,2028-08-27,1262,"2027/2028"
"Austria","1-4",2027-08-30,2028-08-27,969,"2027/2028"
"Austria","18-59",2027-08-30,2028-08-27,300,"2027/2028"
"Austria","3-5mo",2027-08-30,2028-08-27,651,"2027/2028"
"Austria","5-17",2027-08-30,2028-08-27,53,"2027/2028"
"Austria","6-11mo",2027-08-30,2028-08-27,513,"2027/2028"
"Austria","60-64",2027-08-30,2028-08-27,192,"2027/2028"
"Austria","65-69",2027-08-30,2028-08-27,277,"2027/2028"
"Austria","70-74",2027-08-30,2028-08-27,355,"2027/2028"
"Austria","75-79",2027-08-30,2028-08-27,438,"2027/2028"
"Austria","80+",2027-08-30,2028-08-27,1794,"2027/2028"
"Belgium","0-2mo",2026-08-31,2027-08-29,2031,"2026/2027"
"Belgium","1-4",2026-08-31,2027-08-29,1478,"2026/2027"
"Belgium","18-59",2026-08-31,2027-08-29,455,"2026/2027"
"Belgium","3-5mo",2026-08-31,2027-08-29,1029,"2026/2027"
"Belgium","5-17",2026-08-31,2027-08-29,142,"2026/2027"
"Belgium","6-11mo",2026-08-31,2027-08-29,866,"2026/2027"
"Belgium","60-64",2026-08-31,2027-08-29,269,"2026/2027"
"Belgium","65-69",2026-08-31,2027-08-29,356,"2026/2027"
"Belgium","70-74",2026-08-31,2027-08-29,511,"2026/2027"
"Belgium","75-79",2026-08-31,2027-08-29,662,"2026/2027"
"Belgium","80+",2026-08-31,2027-08-29,2332,"2026/2027"
"Belgium","0-2mo",2027-08-30,2028-08-27,2031,"2027/2028"
"Belgium","1-4",2027-08-30,2028-08-27,1478,"2027/2028"
"Belgium","18-59",2027-08-30,2028-08-27,455,"2027/2028"
"Belgium","3-5mo",2027-08-30,2028-08-27,1029,"2027/2028"
"Belgium","5-17",2027-08-30,2028-08-27,142,"2027/2028"
"Belgium","6-11mo",2027-08-30,2028-08-27,866,"2027/2028"
"Belgium","60-64",2027-08-30,2028-08-27,269,"2027/2028"
"Belgium","65-69",2027-08-30,2028-08-27,356,"2027/2028"
"Belgium","70-74",2027-08-30,2028-08-27,511,"2027/2028"
"Belgium","75-79",2027-08-30,2028-08-27,662,"2027/2028"
"Belgium","80+",2027-08-30,2028-08-27,2332,"2027/2028"
"Bulgaria","0-2mo",2026-08-31,2027-08-29,1168,"2026/2027"
"Bulgaria","1-4",2026-08-31,2027-08-29,727,"2026/2027"
"Bulgaria","18-59",2026-08-31,2027-08-29,250,"2026/2027"
"Bulgaria","3-5mo",2026-08-31,2027-08-29,616,"2026/2027"
"Bulgaria","5-17",2026-08-31,2027-08-29,40,"2026/2027"
"Bulgaria","6-11mo",2026-08-31,2027-08-29,546,"2026/2027"
"Bulgaria","60-64",2026-08-31,2027-08-29,141,"2026/2027"
"Bulgaria","65-69",2026-08-31,2027-08-29,246,"2026/2027"
"Bulgaria","70-74",2026-08-31,2027-08-29,346,"2026/2027"
"Bulgaria","75-79",2026-08-31,2027-08-29,445,"2026/2027"
"Bulgaria","80+",2026-08-31,2027-08-29,1096,"2026/2027"
"Bulgaria","0-2mo",2027-08-30,2028-08-27,1168,"2027/2028"
"Bulgaria","1-4",2027-08-30,2028-08-27,727,"2027/2028"
"Bulgaria","18-59",2027-08-30,2028-08-27,250,"2027/2028"
"Bulgaria","3-5mo",2027-08-30,2028-08-27,616,"2027/2028"
"Bulgaria","5-17",2027-08-30,2028-08-27,40,"2027/2028"
"Bulgaria","6-11mo",2027-08-30,2028-08-27,546,"2027/2028"
"Bulgaria","60-64",2027-08-30,2028-08-27,141,"2027/2028"
"Bulgaria","65-69",2027-08-30,2028-08-27,246,"2027/2028"
"Bulgaria","70-74",2027-08-30,2028-08-27,346,"2027/2028"
"Bulgaria","75-79",2027-08-30,2028-08-27,445,"2027/2028"
"Bulgaria","80+",2027-08-30,2028-08-27,1096,"2027/2028"
"Croatia","0-2mo",2026-08-31,2027-08-29,625,"2026/2027"
"Croatia","1-4",2026-08-31,2027-08-29,412,"2026/2027"
"Croatia","18-59",2026-08-31,2027-08-29,125,"2026/2027"
"Croatia","3-5mo",2026-08-31,2027-08-29,317,"2026/2027"
"Croatia","5-17",2026-08-31,2027-08-29,33,"2026/2027"
"Croatia","6-11mo",2026-08-31,2027-08-29,316,"2026/2027"
"Croatia","60-64",2026-08-31,2027-08-29,76,"2026/2027"
"Croatia","65-69",2026-08-31,2027-08-29,139,"2026/2027"
"Croatia","70-74",2026-08-31,2027-08-29,190,"2026/2027"
"Croatia","75-79",2026-08-31,2027-08-29,228,"2026/2027"
"Croatia","80+",2026-08-31,2027-08-29,609,"2026/2027"
"Croatia","0-2mo",2027-08-30,2028-08-27,625,"2027/2028"
