"country","date","month","year","births"
"AT",2026-09-01,"September",2026,6734
"AT",2026-10-01,"October",2026,6682
"AT",2026-11-01,"November",2026,6143
"AT",2026-12-01,"December",2026,6085
"AT",2027-01-01,"January",2027,6360
"AT",2027-02-01,"February",2027,5529
"AT",2027-03-01,"March",2027,6117
"AT",2027-04-01,"April",2027,6072
"AT",2027-05-01,"May",2027,6395
"AT",2027-06-01,"June",2027,6299
"AT",2027-07-01,"July",2027,7091
"AT",2027-08-01,"August",2027,6701
"AT",2027-09-01,"September",2027,6734
"AT",2027-10-01,"October",2027,6682
"AT",2027-11-01,"November",2027,6143
"AT",2027-12-01,"December",2027,6085
"AT",2028-01-01,"January",2028,6360
"AT",2028-02-01,"February",2028,5529
"AT",2028-03-01,"March",2028,6117
"AT",2028-04-01,"April",2028,6072
"AT",2028-05-01,"May",2028,6395
"AT",2028-06-01,"June",2028,6299
"AT",2028-07-01,"July",2028,7091
"AT",2028-08-01,"August",2028,6701
"BE",2026-09-01,"September",2026,9061
"BE",2026-10-01,"October",2026,9302
"BE",2026-11-01,"November",2026,8515
"BE",2026-12-01,"December",2026,8718
"BE",2027-01-01,"January",2027,9501
"BE",2027-02-01,"February",2027,8332
"BE",2027-03-01,"March",2027,8784
"BE",2027-04-01,"April",2027,9130
"BE",2027-05-01,"May",2027,9079
"BE",2027-06-01,"June",2027,9133
"BE",2027-07-01,"July",2027,9946
"BE",2027-08-01,"August",2027,9554
"BE",2027-09-01,"September",2027,9061
"BE",2027-10-01,"October",2027,9302
"BE",2027-11-01,"November",2027,8515
"BE",2027-12-01,"December",2027,8718
"BE",2028-01-01,"January",2028,9501
"BE",2028-02-01,"February",2028,8332
"BE",2028-03-01,"March",2028,8784
"BE",2028-04-01,"April",2028,9130
"BE",2028-05-01,"May",2028,9079
"BE",2028-06-01,"June",2028,9133
"BE",2028-07-01,"July",2028,9946
"BE",2028-08-01,"August",2028,9554
"BG",2026-09-01,"September",2026,4314
"BG",2026-10-01,"October",2026,4168
"BG",2026-11-01,"November",2026,3918
"BG",2026-12-01,"December",2026,4059
"BG",2027-01-01,"January",2027,4646
"BG",2027-02-01,"February",2027,3908
"BG",2027-03-01,"March",2027,4160
"BG",2027-04-01,"April",2027,4084
"BG",2027-05-01,"May",2027,4329
"BG",2027-06-01,"June",2027,4422
"BG",2027-07-01,"July",2027,4720
"BG",2027-08-01,"August",2027,4381
"BG",2027-09-01,"September",2027,4314
