country,date,month,year,births
IE,2015-01-01,January,2015,5613
IE,2015-02-01,February,2015,4995
IE,2015-03-01,March,2015,5381
IE,2015-04-01,April,2015,5169
IE,2015-05-01,May,2015,5481
IE,2015-06-01,June,2015,5307
IE,2015-07-01,July,2015,5968
IE,2015-08-01,August,2015,5466
IE,2015-09-01,September,2015,5839
IE,2015-10-01,October,2015,5614
IE,2015-11-01,November,2015,5276
IE,2015-12-01,December,2015,5427
IE,2016-01-01,January,2016,5318
IE,2016-02-01,February,2016,4951
IE,2016-03-01,March,2016,5287
IE,2016-04-01,April,2016,5237
IE,2016-05-01,May,2016,5257
IE,2016-06-01,June,2016,5414
IE,2016-07-01,July,2016,5450
IE,2016-08-01,August,2016,5372
IE,2016-09-01,September,2016,5677
IE,2016-10-01,October,2016,5381
IE,2016-11-01,November,2016,5177
IE,2016-12-01,December,2016,5320
IE,2017-01-01,January,2017,5216
IE,2017-02-01,February,2017,4752
IE,2017-03-01,March,2017,5145
IE,2017-04-01,April,2017,4815
IE,2017-05-01,May,2017,5064
IE,2017-06-01,June,2017,5326
IE,2017-07-01,July,2017,5324
IE,2017-08-01,August,2017,5384
IE,2017-09-01,September,2017,5383
IE,2017-10-01,October,2017,5276
IE,2017-11-01,November,2017,5140
IE,2017-12-01,December,2017,4999
IE,2018-01-01,January,2018,5169
IE,2018-02-01,February,2018,4562
IE,2018-03-01,March,2018,5123
IE,2018-04-01,April,2018,4720
IE,2018-05-01,May,2018,5167
IE,2018-06-01,June,2018,5019
IE,2018-07-01,July,2018,5291
IE,2018-08-01,August,2018,5193
IE,2018-09-01,September,2018,5243
IE,2018-10-01,October,2018,5179
IE,2018-11-01,November,2018,5228
IE,2018-12-01,December,2018,5128
IE,2019-01-01,January,2019,5166
IE,2019-02-01,February,2019,4436
IE,2019-03-01,March,2019,4695
IE,2019-04-01,April,2019,4755
IE,2019-05-01,May,2019,5006
IE,2019-06-01,June,2019,4712
IE,2019-07-01,July,2019,5237
IE,2019-08-01,August,2019,5274
IE,2019-09-01,September,2019,5090
IE,2019-10-01,October,2019,5109
IE,2019-11-01,November,2019,5012
IE,2019-12-01,December,2019,4797
IE,2020-01-01,January,2020,4974
IE,2020-02-01,February,2020,4364
IE,2020-03-01,March,2020,4753
IE,2020-04-01,April,2020,4492
IE,2020-05-01,May,2020,4686
IE,2020-06-01,June,2020,4666
IE,2020-07-01,July,2020,5049
IE,2020-08-01,August,2020,4786
IE,2020-09-01,September,2020,4839
IE,2020-10-01,October,2020,4632
IE,2020-11-01,November,2020,4348
IE,2020-12-01,December,2020,4370
IE,2021-01-01,January,2021,4751
IE,2021-02-01,February,2021,4680
IE,2021-03-01,March,2021,5095
IE,2021-04-01,April,2021,4884
IE,2021-05-01,May,2021,4736
IE,2021-06-01,June,2021,4922
IE,2021-07-01,July,2021,5300
IE,2021-08-01,August,2021,5203
IE,2021-09-01,September,2021,5352
IE,2021-10-01,October,2021,5249
IE,2021-11-01,November,2021,5096
IE,2021-12-01,December,2021,5285
IE,2022-01-01,January,2022,4920
IE,2022-02-01,February,2022,4239
IE,2022-03-01,March,2022,4446
IE,2022-04-01,April,2022,4204
IE,2022-05-01,May,2022,4269
IE,2022-06-01,June,2022,4544
IE,2022-07-01,July,2022,4681
IE,2022-08-01,August,2022,4709
IE,2022-09-01,September,2022,4773
IE,2022-10-01,October,2022,4705
