DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,January,Ireland,2015,5613,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,January,Ireland,2016,5318,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,January,Ireland,2017,5216,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,January,Ireland,2018,5169,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,January,Ireland,2019,5166,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,January,Ireland,2020,4974,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,January,Ireland,2021,4751,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,January,Ireland,2022,4920,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,January,Ireland,2023,4551,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,January,Ireland,2024,5281,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,February,Ireland,2015,4995,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,February,Ireland,2016,4951,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,February,Ireland,2017,4752,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,February,Ireland,2018,4562,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,February,Ireland,2019,4436,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,February,Ireland,2020,4364,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,February,Ireland,2021,4680,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,February,Ireland,2022,4239,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,February,Ireland,2023,3973,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,February,Ireland,2024,4255,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,March,Ireland,2015,5381,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,March,Ireland,2016,5287,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,March,Ireland,2017,5145,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,March,Ireland,2018,5123,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,March,Ireland,2019,4695,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,March,Ireland,2020,4753,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,March,Ireland,2021,5095,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,March,Ireland,2022,4446,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,March,Ireland,2023,4566,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,March,Ireland,2024,3949,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,April,Ireland,2015,5169,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,April,Ireland,2016,5237,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,April,Ireland,2017,4815,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,April,Ireland,2018,4720,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,April,Ireland,2019,4755,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,April,Ireland,2020,4492,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,April,Ireland,2021,4884,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,April,Ireland,2022,4204,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,April,Ireland,2023,4169,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,April,Ireland,2024,4724,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,May,Ireland,2015,5481,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,May,Ireland,2016,5257,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,May,Ireland,2017,5064,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,May,Ireland,2018,5167,,
